Date,Event Public Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
2025-09-06,"06 September 2025: Aid seekers were shelled by Israeli forces near a distribution point, killing two Palestinians and injuring approximately 17 others. _x000D_
",OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118799,2025-10-14,2025-10-14
2025-09-06,06 September 2025: Three Palestinians were killed and an unspecified number of others injured by Israeli forces while waiting to receive humanitarian aid. ,OPT,PSE,Gaza Strip,31.5740038975,34.4816188473,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118806,2025-10-14,2025-10-14
2025-09-06,"06 September 2025: Palestinian aid seekers were fired upon by Israeli forces near a GHF site, injuring an unspecified number of people. ",OPT,PSE,Gaza Strip,31.460003388,34.4181056993,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118870,2025-10-16,2025-10-16
2025-09-05,"05 September 2025: Whilst seeking aid, one Palestinian was killed by Israeli forces.",OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118656,2025-10-11,2025-10-11
2025-09-05,"05 September 2025: Aid seekers near an INGO distribution site were fired upon by Israeli forces, killing three people. _x000D_
",OPT,PSE,Gaza Strip,31.2990881558,34.2814754192,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118668,2025-10-11,2025-10-14
2025-09-05,"05 September 2025: Aid seekers were attacked by Israeli forces, killing six people and injuring 15 others. ",OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118708,2025-10-12,2025-10-12
2025-09-04,"04 September 2025: Aid seekers near an INGO distribution site were fired upon by Israeli forces, killing seven people and injuring an unspecified number of others. _x000D_
",OPT,PSE,Gaza Strip,31.2993081741,34.2848978478,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118667,2025-10-11,2025-10-14
2025-09-04,"04 September 2025: Aid seekers were fired upon by Israeli forces, killing one person.  ",OPT,PSE,Gaza Strip,31.3785739914,34.3673022875,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118800,2025-10-14,2025-10-14
2025-09-11,"11 September 2025: Near a bakery, residential and commercial buildings were destroyed in Israeli airstrikes.",OPT,PSE,Gaza Strip,31.534,34.4574,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,117926,2025-10-05,2025-10-05
2025-09-03,03 September 2025: Agricultural lands were shelled by Israeli artillery.,OPT,PSE,Gaza Strip,31.3314,34.3004,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Shelling,Food Production,Damage/Destruction Of Agricultural Land,117867,2025-10-05,2025-10-05
2025-09-03,"03 September 2025: Aid seekers at an INGO distribution site were fired upon by Israeli forces, killing at least 10 people and injuring at least 50 others. _x000D_
",OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118666,2025-10-11,2025-10-14
2025-09-03,03 September 2025: At least ten Palestinians were killed and an unspecified number of others injured by Israeli forces while seeking aid.,OPT,PSE,Gaza Strip,31.2979147165,34.287815151,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118689,2025-10-12,2025-10-12
2025-09-02,02 September 2025: At least ten people were killed near an INGO aid distribution site by Israeli forces.,OPT,PSE,Gaza Strip,31.2979147165,34.287815151,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118660,2025-10-11,2025-10-11
2025-09-02,"02 September 2025: Aid seekers were fired upon by Israeli forces, killing one person. ",OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118716,2025-10-12,2025-10-12
2025-09-02,"02 September 2025: Aid workers were fired upon by Israeli forces, killing 12 people and injuring an unspecified number of others. ",OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118801,2025-10-14,2025-10-14
2025-09-01,"01 September 2025: Aid seekers near an INGO distribution site were fired upon by Israeli forces, injuring an unspecified number of people. _x000D_
",OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118664,2025-10-11,2025-10-14
2025-09-01,"01 September 2025: An unspecified number of aid seekers were fired upon by Israeli forces, killing one person. ",OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118715,2025-10-12,2025-10-12
2025-09-01,01 September 2025: Five Palestinians including two women were killed by Israeli forces gunfire while waiting to receive humanitarian aid. ,OPT,PSE,Gaza Strip,31.3008482874,34.2883282546,"(4) Province, State, Governorate",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118765,2025-10-13,2025-10-14
2025-09-01,"01 September 2025: Aid seekers were fired upon by Israeli forces, injuring an unspecified number of people.  ",OPT,PSE,Gaza Strip,31.4552454215,34.4146725351,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118815,2025-10-14,2025-10-14
2025-08-31,"31 August 2025: Two Palestinians were killed and an unspecified number injured, while waiting to receive humanitarian aid, by Israeli forces.",OPT,PSE,Gaza Strip,31.2830204,34.2805069,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117260,2025-09-28,2025-10-06
2025-08-31,"31 August 2025: A group of people waiting to receive aid were fired upon by Israeli forces, killing five Palestinians and injuring an unspecified.",OPT,PSE,Gaza Strip,31.4532680142,34.4101895664,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117519,2025-10-02,2025-10-03
2025-08-31,"31 August 2025: 15 Palestinians were killed, and others were injured, by Israeli forces gunfire while waiting for humanitarian aid near an INGO centre. ",OPT,PSE,Gaza Strip,31.298428098,34.2860983093,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118662,2025-10-11,2025-10-14
2025-08-31,"31 August 2025: Aid seekers were fired upon by Israeli forces, killing seven people and injuring an unspecified number of others. _x000D_
",OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118803,2025-10-14,2025-10-14
2025-08-30,30 August 2025: Five Palestinians were killed by Israeli forces gunfire while waiting for humanitarian aid near an INGO centre. ,OPT,PSE,Gaza Strip,31.298428098,34.2860983093,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117006,2025-09-24,2025-10-11
2025-09-10,"10 September 2025: Near a bakery, four people were killed in an Israeli airstrike.",OPT,PSE,Gaza Strip,31.4389,34.3815,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,117921,2025-10-05,2025-10-05
2025-08-30,30 August 2025: Five Palestinians were killed and 95 others injured by Israeli forces while waiting to receive humanitarian aid.,OPT,PSE,Gaza Strip,31.5475269027,34.4892203251,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117517,2025-10-02,2025-10-03
2025-08-30,30 August 2025: Five Palestinians were killed and an unspecified number of others injured by Israeli forces while waiting to receive humanitarian aid. ,OPT,PSE,Gaza Strip,31.5026779629,34.4648422063,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117518,2025-10-02,2025-10-03
